State,Date,Turnover rate
Jammu and Kashmir,2020-10-31,0.2
Jharkand,2020-10-31,1.25
Karnataka,2020-10-31,5.69
Kerala,2020-10-31,3.16
Madhya Pradesh,2020-10-31,4.33
Maharashrta,2020-10-31,14.91
Odisha,2020-10-31,1.21
Punjab,2020-10-31,1.43
Rajasthan,2020-10-31,5.08
Tamil Nadu,2020-10-31,12.72
Telangana,2020-10-31,3.98
Uttar Pradesh,2020-10-31,7.89
Uttarakhand,2020-10-31,0.49
West Bengal,2020-10-31,2.98
Andhra Pradesh,2020-11-30,6.76
Assam,2020-11-30,0.31
Bihar,2020-11-30,0.99
Chandigarh,2020-11-30,0.38
Chattisgarh,2020-11-30,0.85
Delhi,2020-11-30,4.75
Goa,2020-11-30,0.07
Gujarath,2020-11-30,8.72
Haryana,2020-11-30,13.01
Himachal Pradesh,2020-11-30,0.21
Jammu and Kashmir,2020-11-30,0.21
Jharkand,2020-11-30,1.13
Karnataka,2020-11-30,5.22
Kerala,2020-11-30,2.72
Madhya Pradesh,2020-11-30,3.71
Maharashrta,2020-11-30,13.88
Odisha,2020-11-30,0.93
Punjab,2020-11-30,1.43
Rajasthan,2020-11-30,5.4
Tamil Nadu,2020-11-30,10.96
Telangana,2020-11-30,3.69
Uttar Pradesh,2020-11-30,7.97
Uttarakhand,2020-11-30,0.51
West Bengal,2020-11-30,2.66
