Date,Open,High,Low,Close,Adj Close,Volume
2021-01-25,2612.850098,2631.500000,2501.000000,2513.949951,2513.949951,3520087
2021-01-27,2525.000000,2525.000000,2430.550049,2436.600098,2436.600098,2700415
2021-01-28,2420.000000,2453.949951,2401.050049,2441.699951,2441.699951,3035457
2021-01-29,2456.000000,2484.000000,2400.000000,2407.350098,2407.350098,2768673
2021-02-01,2426.600098,2467.750000,2376.899902,2447.800049,2447.800049,1797359
2021-02-02,2460.000000,2520.000000,2425.100098,2463.649902,2463.649902,2679428
2021-02-03,2503.850098,2503.850098,2438.350098,2453.649902,2453.649902,2409356
2021-02-04,2456.000000,2456.000000,2398.000000,2401.800049,2401.800049,3478562
2021-02-05,2420.000000,2423.899902,2370.800049,2376.750000,2376.750000,3303319
2021-02-08,2394.000000,2434.899902,2373.399902,2416.850098,2416.850098,3666313
2021-02-09,2432.500000,2532.449951,2423.649902,2506.850098,2506.850098,7178572
2021-02-10,2529.000000,2555.000000,2475.000000,2510.600098,2510.600098,4473123
2021-02-11,2524.949951,2540.000000,2495.100098,2505.500000,2505.500000,1446286
2021-02-12,2518.000000,2523.000000,2464.199951,2486.100098,2486.100098,1376085
2021-02-15,2495.000000,2517.500000,2448.550049,2456.750000,2456.750000,1634576
2021-02-16,2472.000000,2475.100098,2422.000000,2450.250000,2450.250000,1615849
2021-02-17,2436.000000,2455.050049,2382.000000,2388.149902,2388.149902,3178784
2021-02-18,2424.000000,2479.600098,2395.250000,2470.750000,2470.750000,4253843
2021-02-19,2470.899902,2470.899902,2400.000000,2416.449951,2416.449951,2244567
2021-02-22,2428.750000,2448.000000,2380.000000,2387.050049,2387.050049,2002642
2021-02-23,2375.000000,2400.000000,2315.000000,2372.199951,2372.199951,3267268
2021-02-24,2373.000000,2409.350098,2347.199951,2361.350098,2361.350098,1708526
2021-02-25,2375.000000,2386.250000,2336.199951,2373.750000,2373.750000,2839515
2021-02-26,2338.050049,2360.000000,2260.000000,2277.199951,2277.199951,3933813
2021-03-01,2300.000000,2369.899902,2300.000000,2362.300049,2362.300049,2545806
2021-03-02,2386.000000,2402.550049,2359.000000,2390.399902,2390.399902,2033586
2021-03-03,2406.000000,2417.699951,2375.800049,2402.100098,2402.100098,1591567
2021-03-04,2380.000000,2435.000000,2350.000000,2417.100098,2417.100098,2149984
2021-03-05,2399.000000,2423.899902,2377.100098,2387.100098,2387.100098,1953642
2021-03-08,2383.000000,2413.500000,2360.050049,2382.699951,2382.699951,1593838
2021-03-09,2400.000000,2444.000000,2396.149902,2422.699951,2422.699951,1800442
2021-03-10,2446.000000,2446.000000,2415.550049,2431.949951,2431.949951,1056102
2021-03-12,2442.800049,2464.649902,2397.000000,2401.350098,2401.350098,1279203
2021-03-15,2402.550049,2427.550049,2343.050049,2355.000000,2355.000000,1524449
2021-03-16,2379.199951,2480.000000,2375.350098,2468.600098,2468.600098,4230564
2021-03-17,2460.000000,2460.000000,2411.100098,2422.949951,2422.949951,1623187
2021-03-18,2468.850098,2468.850098,2390.000000,2404.550049,2404.550049,1851739
2021-03-19,2393.000000,2434.000000,2355.350098,2411.250000,2411.250000,3738079
2021-03-22,2390.000000,2438.100098,2390.000000,2425.699951,2425.699951,1489853
2021-03-23,2430.000000,2433.949951,2398.199951,2410.300049,2410.300049,1745466
2021-03-24,2410.300049,2470.000000,2410.000000,2443.550049,2443.550049,4132092
2021-03-25,2450.949951,2469.000000,2392.000000,2402.199951,2402.199951,2272545
